,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
0,1,Binance Coin,BNB,2017-07-26 23:59:59,0.1090129986405372,0.0992655009031295,0.10589300096035,0.1051379963755607,200395.0,10513800.0
1,2,Binance Coin,BNB,2017-07-27 23:59:59,0.1084790006279945,0.1008879989385604,0.1051080003380775,0.1077369973063469,344499.0,10773700.0
2,3,Binance Coin,BNB,2017-07-28 23:59:59,0.1090189963579177,0.1014730036258697,0.107632003724575,0.1040669977664947,342568.0,10406700.0
3,4,Binance Coin,BNB,2017-07-29 23:59:59,0.1112639978528022,0.1011079996824264,0.1047820001840591,0.1078109964728355,340218.0,10781100.0
4,5,Binance Coin,BNB,2017-07-30 23:59:59,0.1081380024552345,0.1031619980931282,0.1079349964857101,0.1064139977097511,224261.0,10641400.0
5,6,Binance Coin,BNB,2017-07-31 23:59:59,0.1083490028977394,0.1015999987721443,0.1068279966711998,0.1042499989271164,240309.0,10425000.0
6,7,Binance Coin,BNB,2017-08-01 23:59:59,0.1062659993767738,0.0961093977093696,0.1045949980616569,0.0998668000102043,300413.0,9986680.0
7,8,Binance Coin,BNB,2017-08-02 23:59:59,0.1012109965085983,0.0973611995577812,0.0997212007641792,0.1004519984126091,256793.0,10045200.0
8,9,Binance Coin,BNB,2017-08-03 23:59:59,0.1069779992103576,0.0991197004914283,0.1003279983997345,0.1066420003771781,293008.0,10664200.0
9,10,Binance Coin,BNB,2017-08-04 23:59:59,0.107755996286869,0.1026989966630935,0.106684997677803,0.1074939966201782,287621.0,10749400.0
10,11,Binance Coin,BNB,2017-08-05 23:59:59,0.1446530073881149,0.1070699989795684,0.1074180006980896,0.1288709938526153,542878.0,12887100.0
11,12,Binance Coin,BNB,2017-08-06 23:59:59,0.1329880058765411,0.1273799985647201,0.1292929947376251,0.1309989988803863,393681.0,13099900.0
12,13,Binance Coin,BNB,2017-08-07 23:59:59,0.1497649997472763,0.1333000063896179,0.1339579969644546,0.1488479971885681,748177.0,14884800.0
13,14,Binance Coin,BNB,2017-08-08 23:59:59,0.2269250005483627,0.1477659940719604,0.1489980071783065,0.2244209945201873,2617340.0,22442100.0
14,15,Binance Coin,BNB,2017-08-09 23:59:59,0.2606250047683716,0.2221579998731613,0.2247480005025863,0.2429119944572448,3075320.0,24291200.0
15,16,Binance Coin,BNB,2017-08-10 23:59:59,0.3499760031700134,0.2450519949197769,0.2518270015716553,0.3490790128707886,4118070.0,34907900.0
16,17,Binance Coin,BNB,2017-08-11 23:59:59,0.4096539914608001,0.31106698513031,0.3487850129604339,0.3925719857215881,4413920.0,39257200.0
17,18,Binance Coin,BNB,2017-08-12 23:59:59,0.4759919941425323,0.3375889956951141,0.3921929895877838,0.4463649988174438,5080760.0,44636500.0
18,19,Binance Coin,BNB,2017-08-13 23:59:59,1.0226399898529053,0.4459899961948395,0.4459899961948395,0.8768280148506165,13852100.0,87682800.0
19,20,Binance Coin,BNB,2017-08-14 23:59:59,1.4633899927139282,0.7357640266418457,0.8729180097579956,1.2955700159072876,51698100.0,129557000.0
20,21,Binance Coin,BNB,2017-08-15 23:59:59,1.3789199590682983,0.923371970653534,1.32709002494812,1.0565500259399414,19824400.0,105655000.0
21,22,Binance Coin,BNB,2017-08-16 23:59:59,1.452720046043396,1.0786900520324707,1.11968994140625,1.4372400045394895,31363100.0,143724000.0
22,23,Binance Coin,BNB,2017-08-17 23:59:59,2.1113100051879883,1.323639988899231,1.4369699954986572,1.9671499729156492,61296500.0,196715000.0
23,24,Binance Coin,BNB,2017-08-18 23:59:59,2.754120111465454,1.894700050354004,1.925189971923828,2.384000062942505,69048000.0,238400000.0
24,25,Binance Coin,BNB,2017-08-19 23:59:59,2.334399938583374,1.8199399709701536,2.334399938583374,2.093369960784912,43391300.0,209337000.0
25,26,Binance Coin,BNB,2017-08-20 23:59:59,2.6894400119781494,2.075819969177246,2.1082100868225098,2.502579927444458,65350400.0,250258000.0
26,27,Binance Coin,BNB,2017-08-21 23:59:59,2.9089200496673584,2.430749893188477,2.430749893188477,2.7011098861694336,72000600.0,270111000.0
27,28,Binance Coin,BNB,2017-08-22 23:59:59,2.72445011138916,2.224790096282959,2.72445011138916,2.4852700233459477,52091300.0,248527000.0
28,29,Binance Coin,BNB,2017-08-23 23:59:59,2.9554500579833984,2.4739699363708496,2.4739699363708496,2.580430030822754,64925100.0,258043000.0
29,30,Binance Coin,BNB,2017-08-24 23:59:59,2.6639699935913086,2.2833800315856934,2.6273601055145264,2.379319906234741,45080400.0,237932000.0
30,31,Binance Coin,BNB,2017-08-25 23:59:59,2.7299699783325195,2.3905699253082275,2.3905699253082275,2.4968700408935547,49977600.0,249687000.0
31,32,Binance Coin,BNB,2017-08-26 23:59:59,2.5388400554656982,1.960559964179993,2.5303800106048584,2.1693599224090576,26690700.0,216936000.0
32,33,Binance Coin,BNB,2017-08-27 23:59:59,2.3135499954223637,1.8580199480056765,2.179970026016236,2.005189895629883,17214900.0,200519000.0
33,34,Binance Coin,BNB,2017-08-28 23:59:59,2.1674299240112305,1.9628000259399412,2.0214900970458984,2.0429000854492188,15413900.0,204290000.0
34,35,Binance Coin,BNB,2017-08-29 23:59:59,2.327579975128174,1.9897300004959104,2.106250047683716,2.327579975128174,20372000.0,232758000.0
